[20:53:04.11] Slave MCU 1: Environmental Sensor (Zone 1) initialized 
[20:53:06.21] Self-test complete on Zone 1 sensor: PASS 
[20:53:09.20] Zone 1 - Measured temperature: 23.3 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 24.6 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 22.9 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 23.2 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 24.5 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 22.8 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 23.1 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 24.4 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 22.7 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 23.0 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 24.3 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 22.6 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 23.9 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 24.2 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
[20:53:09.20] Zone 1 - Measured temperature: 22.5 C, Humidity: 47.2%, Pressure: 1013.2 hPa 
